cc_alias	language	lexeme	status	lexeme_source	cognacy_source	comment
fish-A	Tamil	mi:nə		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:436 (A)	; set - 4885
fish-A	Toda	mi:n		Kolipakam fieldwork (A)	Burrow Emeneau 1961:436 (A)	Set - 4885
fish-A	Tulu	mi:nə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:436 (A)	Set - 4885
fish-A	Yeruva	mi:nə		Kolipakam fieldwork (A)	Andronov 1964 (A); Kolipakam (B)	obselete; High quality look alike to set - 4885(pg.436) but not on DED list.
fish-B	Koya	ki:ke		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike of set - 1252, but not on DED list.
fish-B	Parji	key		Andronov 1964 (B)	Burrow Emeneau 1961:116 (A)	set - 1252
fish-B	Telugu	tʃe:pa		Kolipakam fieldwork (A)	Andronov 1964 (A)	
fish-C	Kannada	matsya	LOAN	Andronov 1964 (L)	Andronov 1964 (L)	obselete
fish-C	Malayalam	malsjam	LOAN	Kolipakam fieldwork (A)	Andronov 1964 (L)	
fish-D	Brahui	matʃtʃi:	LOAN	Kolipakam (fieldwork) (A)	Kolipakam (L)	Loan from hindi/sanskrit - matʃtʃi/matsya
fish-E	Kolami	guɖɖi	EXCLUDE	Kolipakam (fieldwork) (A)	Kolipakam (X)	Not sure if the correct meaning is recorded
fish-F	Kurukh	indʒo		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates or entry in DED
fly-A	Badga	paɾappə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED4020 (B)	Clear cognate
fly-A	Betta_Kurumba	pa:ɾ ~ pe:ɾ		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED4020 (B)	clear cognate
fly-A	Gondi	paɾi		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:358 (A)	DED4020
fly-A	Kannada	ha:ɾu		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B)	
fly-A	Kodava	pa:ɾa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED4020 (A)	
fly-A	Kota	pa:ɾʋu		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:358 (A)	DED4020
fly-A	Malayalam	paɾakkuga		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED4020 (A)	; 
fly-A	Tamil	paɾə		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED4020 (A)	; 
fly-A	Toda	po:ɾtʃ		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED4020 (A)	
fly-A	Tulu	ɾa:paɾa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED4020 (A)	DED4020: "rāpuni, rāvuni to fly (with aphaeresis)" - note that other Tulu forms are clearer cognates, although with more distant meanings, e.g. "pāruni to run, fly, escape".
fly-B	Telugu	eguɾu		Kolipakam fieldwork (A)	Andronov 1964 (A)	
fly-C	Koya	tulla		Kolipakam fieldwork (A)	Dunn (B)	Apparent singleton
fly-D	Yeruva	mannə		Kolipakam fieldwork (A)	Dunn (B)	Apparent singleton
fly-E	Kurukh	uɖijaɾna		Kolipakam (fieldwork) (A)	Kolipakam (B)	
fly-E	Malto	uɖa:ɾi		Kolipakam (fieldwork) (A)	Kolipakam (B)	
fly-F	Kolami	tulsa:d		Kolipakam (fieldwork) (A)	Kolipakam (B)	Apparent singleton
fly-G	Brahui	ba:l kanning		Kolipakam (fieldwork) (A)	Kolipakam (B)	apparent singleton
foot-A	Kannada	aḍi		Andronov 1964 (B)	Andronov 1964 (B)	
foot-A	Koya	aɖugu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:8 (A)	set - 72
foot-A	Malayalam	aṭi		Andronov 1964 (B)	Burrow Emeneau 1961:8 (A)	set - 72
foot-A	Tamil	aɖi		Andronov 1964 (B); Kolipakam fieldwork (A)	Burrow Emeneau 1961:8 (A)	set - 72
foot-A	Telugu	aɖugu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:8 (A)	set - 72
foot-B	Kannada	pa:da		Kolipakam fieldwork (A)	Burrow Emeneau 1961 (B)	High quality look alike to set - 3843(pg.344) but not on the DED list.
foot-B	Kuwi	pa:dami		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:344 (A)	DED3843
foot-B	Malayalam	pa:dam		Kolipakam fieldwork (A)	Burrow Emeneau 1961:344 (A)	set - 3843
foot-B	Ollari_Gadba	pa:dam		Kolipakam (fieldwork) (A)	Kolipakam (A)	High quality look alike to DED3843
foot-B	Tamil	pa:dam		Kolipakam fieldwork (A)	Burrow Emeneau 1961:344 (A)	set - 3843
foot-B	Telugu	pa:damu	LOAN	Kolipakam fieldwork (A)	Andronov 1964 (L); Krishnamurti 2003:491 (X)	; "A learned borrowing from Sanskrit"
foot-C	Betta_Kurumba	ka:lə		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike to set - 1479
foot-C	Gondi	ka:l		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:138 (A)	DED1479
foot-C	Tamil	kaalə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:138 (A)	set - 1479
foot-C	Toda	ko:l		Kolipakam fieldwork (A)	Burrow Emeneau 1961:138 (A)	set - 1479
foot-C	Tulu	ka:lə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:138 (A)	set - 1479
foot-C	Yeruva	ka:lə		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike to set - 1479(pg. 138) but not on DED list.
foot-D	Kurukh	kʰeɖ		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:177 (A)	DED1943
foot-E	Badga	anga:lə		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike to set - 7 (pg. 3) but not on DED list.
foot-E	Kodava	anga:l		Kolipakam fieldwork (A)	Burrow Emeneau 1961:3 (A)	set - 7
foot-F	Brahui	nat		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognate or entry in DED
foot-G	Malto	ɾaɖadu		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognate or entry in DED
foot-H	Kolami	dʒeʈʈa		Kolipakam (fieldwork) (A)	Kolipakam (C)	No obvious cognate or entry in DED
foot-I	Kota	tapaɖ		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognate or entry in DED
full-A	Toda	so:kkaije		Kolipakam fieldwork (A)	Jordan (B)	
full-B	Badga	tʰumbe		Kolipakam fieldwork (A)	Jordan (B)	Lookalike to Kod: dumba
full-B	Kannada	tumbidu		Andronov 1964 (B); Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3331 (A)	B&E form: tumbisu
full-B	Kodava	dumba		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3331 (A)	
full-B	Yeruva	dumba		Kolipakam fieldwork (A)	Jordan (B)	Identical to Kod: dumba
full-C	Gondi	niɳɖ		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:326 (A)	DED3682
full-C	Kolami	ninɖu		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:326 (A)	DED3682
full-C	Koya	ninɖa:		Kolipakam fieldwork (A)	Jordan (B)	Lookalike with Te: ninɖa:
full-C	Kurukh	nindka		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:326 (B)	DED3682
full-C	Malayalam	niɾaɲa		Andronov 1964 (B); Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3682 (B)	B&E form: niṟa (check if this is a stem)
full-C	Malto	nindpa:		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961 (A)	DED3682
full-C	Tamil	niṟainta		Andronov 1964 (B)	Andronov 1964 (B)	was cognate class A originally
full-C	Telugu	ninɖu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3682 (A)	B&E form: niṇḍu Was originally Andronov class A
full-D	Tamil	muɭu		Kolipakam fieldwork (A)	Jordan (B)	Self-identified
full-E	Tulu	dindʒidunɖu		Kolipakam fieldwork (A)	Dunn (B)	no apparent cognates
full-F	Betta_Kurumba	fullə		Kolipakam fieldwork (A)	Kolipakam (B)	Not similar to any other cognate class
full-G	Brahui	puɾ		Kolipakam (fieldwork) (A)	Kolipakam (B)	apparent singleton. no entry in ded
full-G	Ollari_Gadba	puneʈ		Kolipakam (fieldwork) (A)	Kolipakam (B)	
full-H	Kuwi	guɾa		Kolipakam (fieldwork) (A)	Kolipakam (B)	Apparent singleton. No entry in DED
give-A	Badga	koɖu		Kolipakam fieldwork (A)	Dunn:DED2053 (B)	clear lookalike
give-A	Betta_Kurumba	koɖ		Kolipakam fieldwork (A)	Dunn:DED2053 (B)	clear lookalike
give-A	Kannada	koɖu		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED2053 (A)	; 
give-A	Kodava	koɖi		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED2053 (A)	
give-A	Malayalam	koɖukkuga		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED2053 (A)	; 
give-A	Tamil	kuɖə		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED2053 (A)	; 
give-A	Tulu	koɾo		Kolipakam fieldwork (A)	Dunn:DED2053 (A)	
give-A	Yeruva	koɖu		Kolipakam fieldwork (A)	Dunn:DED2053 (B)	clear lookalike
give-B	Brahui	tinning		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:269 (B)	DED3098
give-B	Kota	tej		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:269 (B)	DED3098
give-B	Kuwi	taa		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:269 (B)	DED3098
give-B	Tamil	ta:		Kolipakam fieldwork (A)	Burrow Emeneau 1961:269 (B)	DED3096
give-C	Gondi	hi		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:225 (A)	DED2598
give-C	Kolami	si:ta:n		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:225 (A)	DED2598
give-C	Koya	i:m		Kolipakam fieldwork (A)	Dunn:DED2598 (B)	Good lookalike, given a phonologically minimal form.
give-C	Koya	i:datam		Kolipakam fieldwork (A)	Dunn:DED2598 (C)	Good lookalike, given a phonologically minimal form. But check also I-E
give-C	Kurukh	tʃihna		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:225 (A)	DED2598
give-C	Malto	tʃiba:h		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:90 (A)	Set 2598
give-C	Ollari_Gadba	tʃi		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:225 (A)	DED2598
give-C	Parji	cī-		Andronov 1964 (B)	Andronov 1964 (B); Burrow Emeneau 1961:DED2598 (A)	; 
give-C	Telugu	itʃtʃu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED2598 (A)	
give-C	Telugu	iʋʋaɖam		Kolipakam fieldwork (A)	Dunn:DED2598 (C)	phonologically minimal stem
give-C	Toda	ittʃadta		Kolipakam fieldwork (A)	Dunn:DED2598 (C)	phonologically minimal stem
good-A	Betta_Kurumba	nall		Kolipakam fieldwork (A)	Jordan (B)	Lookalike with Ta. nal-, nalla
good-A	Kodava	nalla		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3610 (A)	
good-A	Malayalam	nalla		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (A); Burrow Emeneau 1961:DED3610 (A)	; 
good-A	Tamil	nalla		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED3610 (A)	; 
good-A	Yeruva	nallə		Kolipakam fieldwork (A)	Jordan (B)	Clear cognate with Ta. nalla
good-B	Badga	oɭɭajadə		Kolipakam fieldwork (A)	Jordan (B)	Lookalike with Ka: oɭɭijadu
good-B	Kannada	oɭɭijadu		Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED1006 (A)	Andronov form: oḷḷe, cognate class B; B&E form: oli, ole
good-B	Kota	oludə		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:97 (A)	DED1006
good-C	Koya	mantʃid		Kolipakam fieldwork (A)	Jordan (B)	Lookalike with Te: mantʃi
good-C	Telugu	mantʃi		Kolipakam fieldwork (A)	Andronov 1964 (A)	
good-D	Tulu	eɖɖedana		Burrow Emeneau 1961 (B); Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED848 (A)	
good-E	Toda	ulti		Kolipakam fieldwork (A)	Jordan (B)	
good-F	Malto	he:ɖu		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:DED848 (A)	éṛu good, beautiful, in health. DED(S) 722.
good-G	Brahui	dʒua:n		Kolipakam (fieldwork) (A)	Kolipakam (B)	
good-H	Malto	ɾaɖu		Kolipakam (fieldwork) (A)	Kolipakam (B)	
good-I	Kurukh	da:ʋ		Kolipakam (fieldwork) (A)	Kolipakam (B)	apparent singleton. no entry in ded
good-J	Kolami	sobhatan		Kolipakam (fieldwork) (A)	Kolipakam (B)	apparent singleton
good-K	Gondi	assal		Kolipakam (fieldwork) (A)	Kolipakam (B)	apparent singleton
good-L	Kuwi	nejun		Kolipakam (fieldwork) (A)	Kolipakam (B)	apparent singleton.
green-A	Badga	patʃtʃe		Kolipakam fieldwork (A)	Jordan (B)	Identical form to closely related languages.
green-A	Betta_Kurumba	passla:ngi ~ patʃtʃəla:ngi		Kolipakam fieldwork (A)	Dunn (B)	good lookalike
green-A	Gondi	patʃtʃad		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:342 (A)	DED3821
green-A	Kannada	hasiru		Andronov 1964 (B); Kolipakam fieldwork (A)	Burrow Emeneau 1961:342 (B)	Set 3821. Burrows and Emeneau form is "pasir". Kannada has a change from proto-Dravidian p > h.
green-A	Kodava	patʃtʃe		Kolipakam fieldwork (A)	Burrow Emeneau 1961:342 (B)	Burrows and Emeneau Set 3821. Form is given as pacce.
green-A	Kota	patʃtʃə		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:342 (A)	DED3821
green-A	Koya	patʃtʃa		Kolipakam fieldwork (A)	Jordan (B)	Form is identical to closely related Telegu. Burrows and Emeneau Set 3821.
green-A	Kuwi	a:kupatʃtʃa		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:342 (A)	DED3821
green-A	Malayalam	patʃtʃa		Kolipakam fieldwork (A)	Jordan (B)	Form is identical to closely related Kodava. Andronov form is "pacu-"
green-A	Parji	pay		Andronov 1964 (B)	Burrow Emeneau 1961:342 (B)	Set 3821.
green-A	Tamil	patʃtʃə		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:342 (A)	; set 3821
green-A	Telugu	patʃtʃa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:342 (B)	Burrows and Emeneau Set 3821. Form is given as pacca.
green-A	Toda	patʃtʃai		Kolipakam fieldwork (A)	Jordan:342 (B)	Identical form to closely related languages. Burrows and Emeneau form is "poč".
green-A	Tulu	patʃtʃe		Kolipakam fieldwork (A)	Burrow Emeneau 1961:342 (B)	Set 3821 Burrows and Emeneau form is "paccè".
green-A	Yeruva	patʃtʃe		Kolipakam fieldwork (A)	Jordan (B)	Form is identical to closely related Kodava.
green-B	Kurukh	haɾija:ɾ	LOAN	Kolipakam (fieldwork) (A)	Kolipakam (L)	possible loan word from hindi word for green/greenery - harijali/hara
green-C	Brahui	guanakki		Kolipakam (fieldwork) (A)	Kolipakam (B)	apparent singleton. No entry in DED
green-D	Malto	ɾanalo		Kolipakam (fieldwork) (A)	Kolipakam (B)	Apparent singleton. No entry in DED
green-E	Kolami	niguɾ		Kolipakam (fieldwork) (A)	Kolipakam (B)	Apparent singleton. No entry in DED
green-F	Gondi	hi:		Kolipakam (fieldwork) (A)	Kolipakam (B)	apparent singleton. No entry in DED
green-G	Kuwi	nilia		Kolipakam (fieldwork) (A)	Kolipakam (B)	apparent singleton. No entry in DED
green-H	Kuwi	kasuli		Kolipakam (fieldwork) (A)	Kolipakam (B)	Apparent singleton. No entry in DED
hair-A	Malayalam	muɖi		Kolipakam fieldwork (A)	Burrow Emeneau 1961:440 (A)	Set : 4921
hair-A	Tamil	muɖi		Kolipakam fieldwork (A)	Burrow Emeneau 1961:440 (A)	Set : 4921
hair-B	Kannada	kūdalu		Andronov 1964 (B)	Andronov 1964 (B)	
hair-B	Kannada	ku:dalu		Kolipakam fieldwork (A)	Andronov 1964 (C); Burrow Emeneau 1961:172 (A)	; Set : 1892
hair-B	Tulu	ku:dʒal		Kolipakam fieldwork (A)	Burrow Emeneau 1961:172 (A)	Set : 1892
hair-C	Telugu	veɳʈɾukalu		Kolipakam fieldwork (A)	Andronov 1964 (A); Burrow Emeneau 1961:498 (A)	; Set : 5482
hair-D	Badga	oɾame	LOAN	Kolipakam fieldwork (A)	Buck 1949:204 (L)	probable cognate with loan into Malayalam
hair-D	Malayalam	rōmam	LOAN	Andronov 1964 (L)	Andronov 1964 (L); Buck 1949:204 (L)	; "
hair-E	Kota	manɖə mi:ɾə		Kolipakam (fieldwork) (A)	Kolipakam (A)	Simiilar to set DED4707, has a prefix of "mand" meaning head.
hair-E	Tamil	maiɾə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:416 (A)	Set : 4707
hair-E	Toda	mi:ɾs		Kolipakam fieldwork (A)	Burrow Emeneau 1961:416 (A)	Set : 4707
hair-F	Kodava	telami		Kolipakam fieldwork (A)	Burrow Emeneau 1961:269 (A)	Set : 3103
hair-F	Malto	ta:li		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:270 (A)	DED3103
hair-F	Yeruva	tilami		Kolipakam fieldwork (A)	Kolipakam:172 (B)	High quality look alike to set - 3103 (pg. 269), but not on DED list
hair-G	Koya	dʒuʈʈul		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike to set - 2655 (pg. 230). but not on DED list.
hair-G	Kurukh	tʃuʈʈi		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:230 (A)	DED2655
hair-G	Telugu	dʒuʈʈu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:230 (A)	Set : 2655
hair-H	Gondi	kel		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:179 (A)	DED1973
hair-H	Koya	kelk		Kolipakam fieldwork (A)	Kolipakam (B)	high quality look alike to DED1973
hair-I	Brahui	puʒʒƐ		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates or entry in DED
hair-J	Betta_Kurumba	ta:kəɾə		Kolipakam fieldwork (A)	Kolipakam (B)	
hair-K	Kolami	ti:ɾu		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates or entry in DED
hair-L	Ollari_Gadba	tʃendi		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious congates or entry in DED
hair-L	Ollari_Gadba	taltʃenʈi		Kolipakam (fieldwork) (A)	Kolipakam (B)	similar to te other form, has additional "tal", "head" prefix.
hair-M	Kuwi	bana		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognate or entry in DED
hand-A	Badga	kaj		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike, but not in the DED Set - 2023 pg. 183
hand-A	Betta_Kurumba	ki:ja		Kolipakam fieldwork (A)	Dunn (B)	good quality lookalike
hand-A	Gondi	kaj		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:183 (A)	DED2023
hand-A	Kannada	kaj		Kolipakam fieldwork (A)	Burrow Emeneau 1961:183 (A)	Set - 2023
hand-A	Kodava	kaj		Kolipakam fieldwork (A)	Burrow Emeneau 1961:183 (A)	Set - 2023
hand-A	Kolami	keju		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:183 (A)	DED2023
hand-A	Kota	kaij		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:183 (A)	DED2023
hand-A	Koya	kaj		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike, but not in the DED Set - 2023 pg. 183
hand-A	Kurukh	kʰekkʰa		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:183 (A)	DED2023
hand-A	Kuwi	keju		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:183 (A)	DED2023
hand-A	Malayalam	kaj		Kolipakam fieldwork (A)	Burrow Emeneau 1961:183 (A)	Set - 2023
hand-A	Ollari_Gadba	ki:		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:183 (A)	DED2023
hand-A	Parji	key		Andronov 1964 (B)	Burrow Emeneau 1961:183 (A)	Set - 2023
hand-A	Tamil	kaj		Andronov 1964 (B); Kolipakam fieldwork (A)	Burrow Emeneau 1961:183 (A)	Set - 2023
hand-A	Telugu	tʃejji		Kolipakam fieldwork (A)	Burrow Emeneau 1961:183 (A)	Set - 2023
hand-A	Toda	koi		Kolipakam fieldwork (A)	Burrow Emeneau 1961:183 (A)	Set - 2023
hand-A	Tulu	kai		Kolipakam fieldwork (A)	Burrow Emeneau 1961:183 (A)	Set - 2023
hand-A	Yeruva	kaj		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike, but not in the DED Set - 2023 pg. 183
hand-B	Brahui	ɖu:		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognate or entry in DED
hand-C	Malto	ʈeʈu		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognate or entry in DED
head-A	Gondi	talla		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:269 (A)	DED3103
head-A	Kannada	tale		Andronov 1964 (B)	Andronov 1964 (B)	
head-A	Kannada	tale		Kolipakam fieldwork (A)	Burrow Emeneau 1961:269 (A)	set : 3103
head-A	Kolami	tal		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:269 (A)	DED3103
head-A	Koya	talaka:j		Kolipakam fieldwork (A)	Kolipakam:414 (B)	High quality look alike of set: 3103 (pg:269), but not in DED list.
head-A	Kuwi	tɾajun		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:269 (A)	DED3103
head-A	Malayalam	tala		Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:269 (A)	; set : 3103
head-A	Ollari_Gadba	ta:l		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:269 (A)	DED3103
head-A	Parji	tel		Andronov 1964 (B)	Burrow Emeneau 1961:269 (A)	set : 3103
head-A	Tamil	talə		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:269 (A)	; set : 3103
head-A	Telugu	tala		Kolipakam fieldwork (A)	Andronov 1964 (A); Burrow Emeneau 1961:269 (A)	; set : 3103
head-A	Yeruva	tile		Kolipakam fieldwork (A)	Kolipakam:414 (B)	High quality look alike of set: 3103 (pg:269), but not in DED list.
head-B	Badga	manɖe		Kolipakam fieldwork (A)	Kolipakam:414 (B)	High quality look alike of set: 4682 (pg:414), but not in DED list.
head-B	Betta_Kurumba	maɳɖi		Kolipakam fieldwork (A)	Kolipakam (B)	high quality look alike to set : 4682
head-B	Kodava	maɳɖe		Kolipakam fieldwork (A)	Burrow Emeneau 1961:414 (A)	set : 4682
head-B	Kota	manɖə		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:414 (A)	DED4682
head-B	Toda	maʈʈə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:414 (A)	set : 4682
head-B	Tulu	manɖa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:414 (A)	set : 4682
head-C	Kurukh	kuk		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:149 (A)	DED1630
head-C	Malto	kukudu		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:149 (A)	Set 1630
head-D	Malayalam	ʂiɾasə	LOAN	Kolipakam fieldwork (A)	Kolipakam (L)	Loanword from sanskrit - Sirass
head-E	Brahui	ka:ʈum		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates or link in DED
hear-A	Badga	ke:pə		Kolipakam fieldwork (A)	Dunn (C)	doubtful lookalike (cf kelpa- forms in DED)
hear-A	Betta_Kurumba	kə:ɭ		Kolipakam fieldwork (A)	Dunn (B)	clear cognate
hear-A	Gondi	kendʒ		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961 (A)	DED2017
hear-A	Kannada	ke:ɭu		Kolipakam fieldwork (A)	Andronov 1964 (B)	
hear-A	Kodava	ke:ɭə		Kolipakam fieldwork (A)	Andronov 1964 (A)	
hear-A	Kota	ke:lə		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961 (A)	DED2017
hear-A	Malayalam	kelkuga		Kolipakam fieldwork (A)	Andronov 1964 (B)	
hear-A	Tamil	ke:ɭə		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B)	
hear-A	Toda	ke:l		Kolipakam fieldwork (A)	Andronov 1964 (B)	identical to sister forms
hear-A	Tulu	keɳaɾa		Kolipakam fieldwork (A)	Andronov 1964 (A)	Tu. kēṇuni to hear, be attentive to, obey, ask, inquire, request.
hear-A	Yeruva	ke:ɭu		Kolipakam fieldwork (A)	Andronov 1964 (B)	identical to sister forms
hear-C	Koya	ke:dʒa		Kolipakam fieldwork (A)	Dunn (C)	lookalike
hear-D	Brahui	bining		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:502 (A)	DED5516
hear-D	Kolami	ʋinti		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:502 (A)	DED5516
hear-D	Kurukh	menna		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:502 (A)	DED5516
hear-D	Malto	me:na		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:DED5516 (A)	
hear-D	Malto	me:npo		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:502 (A)	DED5516
hear-D	Parji	ven-		Andronov 1964 (B)	Andronov 1964 (B); Burrow Emeneau 1961:DED5516 (A)	; 
hear-D	Telugu	ʋinu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:502 (A)	DED5516
heart-A	Kannada	hrudaya	LOAN	Kolipakam fieldwork (A)	Andronov 1964 (L)	Tu. tigalè 'breast, chest'; Ka. (PBh.)
heart-A	Kodava	hrudaja	LOAN	Kolipakam fieldwork (A)	Dunn (L)	Same as the other forms tagged as Skt loans by Andronov
heart-A	Malayalam	hɾudajam	LOAN	Kolipakam fieldwork (A)	Andronov 1964 (L)	
heart-A	Tamil	idajam	LOAN	Andronov 1964 (L); Kolipakam fieldwork (A)	Andronov 1964 (L)	
heart-A	Telugu	hɾudajamu	LOAN	Kolipakam fieldwork (A)	Andronov 1964 (L)	
heart-B	Gondi	guɳɖe		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:155 (A)	DED1693
heart-B	Kolami	gunɖe		Kolipakam (fieldwork) (A)	Kolipakam (A)	Similar to DED1693, not in DED list
heart-B	Koya	guɳɖeka:ja		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED1693 (A)	Ko. gunḍer kaya heart;
heart-B	Telugu	guɳɖa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED1693 (A)	Te. guṇḍe, guṇḍelu, guṇḍiya the chest, heart, courage, boldness
heart-C	Kota	nendʒu		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:333 (A)	DED3736
heart-C	Yeruva	nendʒi		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3736 (B)	not listed in DED, but a clear member of this class
heart-D	Toda	manasə		Kolipakam fieldwork (A)	Dunn (C)	Singleton, not in DED
heart-E	Betta_Kurumba	jaddi		Kolipakam fieldwork (A)	Dunn (B)	apparent singleton
heart-F	Malto	hugli:		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:DED698 (A)	ugli "heart, mind"
